POLYGON ((-84.313559499999997 33.7198634,-84.312392200000005 33.7198634,-84.312392200000005 33.719999100000003,-84.312212000000002 33.719999100000003,-84.312220600000003 33.7182357,-84.313430800000006 33.718249999999998,-84.313430800000006 33.718671200000003,-84.313610999999995 33.7186783,-84.313602399999994 33.7190638,-84.313439399999993 33.7190638,-84.313430800000006 33.719742099999998,-84.313550899999996 33.719749200000003,-84.313559499999997 33.7198634))	77879552		1500	building	WalMart
POLYGON ((-82.143182600000003 33.5454341,-82.143370399999995 33.545505599999998,-82.143429400000002 33.545402799999998,-82.142211700000004 33.544933299999997,-82.142109700000006 33.5450898,-82.141970299999997 33.545036199999998,-82.141482100000005 33.545921399999997,-82.141637700000004 33.5459751,-82.141482100000005 33.546265699999999,-82.141573300000005 33.546301399999997,-82.141476699999998 33.546498200000002,-82.1416806 33.546578599999997,-82.141782500000005 33.546386400000003,-82.142050699999999 33.546480299999999,-82.1419542 33.546681499999998,-82.142131199999994 33.546744099999998,-82.142233099999999 33.546551800000003,-82.142265300000005 33.546565200000003,-82.142308200000002 33.546480299999999,-82.142742699999999 33.546632299999999,-82.142785599999996 33.546542899999999,-82.142624699999999 33.546480299999999,-82.143182600000003 33.5454341))	155177774		1500	building	Walmart
POLYGON ((-81.2258286 32.275459599999998,-81.226614100000006 32.2751065,-81.226470699999993 32.274878399999999,-81.2265996 32.274820499999997,-81.226249499999994 32.2742638,-81.226114899999999 32.274324300000004,-81.225624600000003 32.2735446,-81.225324799999996 32.273679399999999,-81.225572200000002 32.274072799999999,-81.225434399999997 32.274134799999999,-81.225383899999997 32.274054499999998,-81.225324999999998 32.274081000000002,-81.2252565 32.273972,-81.225094900000002 32.274044600000003,-81.225212099999993 32.274231100000002,-81.225110700000002 32.2742767,-81.225599399999993 32.275053999999997,-81.225426400000003 32.275131700000003,-81.225512499999994 32.275268599999997,-81.225665300000003 32.275199899999997,-81.2258286 32.275459599999998))	385230444		1500	building	Walmart
POLYGON ((-82.077927900000006 33.493807699999998,-82.077618900000004 33.4940153,-82.077464399999997 33.494115499999999,-82.076958000000005 33.493585799999998,-82.0774215 33.493270899999999,-82.077927900000006 33.493807699999998))	52857562		1500	building	Best Buy
POLYGON ((-84.130159500000005 33.9506826,-84.130687800000004 33.950479,-84.130848799999995 33.950492400000002,-84.130868899999996 33.950522399999997,-84.130946699999996 33.950498000000003,-84.131015099999999 33.9505002,-84.1311666 33.950782699999998,-84.1310486 33.950825000000002,-84.131054000000006 33.9508395,-84.130930599999999 33.950887299999998,-84.130972200000002 33.9509574,-84.130419599999996 33.951169899999996,-84.130159500000005 33.9506826))	194451364		1500	building	Best Buy
POLYGON ((-84.248925799999995 33.845753000000002,-84.2482593 33.845760300000002,-84.248248399999994 33.845073300000003,-84.248914799999994 33.845066000000003,-84.248925799999995 33.845753000000002))	339923388		1500	building	Best Buy
POLYGON ((-83.712598900000003 32.8154234,-83.712598200000002 32.815279099999998,-83.712332399999994 32.81528,-83.712330100000003 32.814776999999999,-83.711034299999994 32.814781199999999,-83.7110366 32.815279500000003,-83.710976700000003 32.815279699999998,-83.710978699999998 32.815721000000003,-83.711562799999996 32.815719100000003,-83.711562299999997 32.815616599999998,-83.7123256 32.815614099999998,-83.712324699999996 32.815424299999997,-83.712598900000003 32.8154234))	348025320		1500	building	Sam's Club
POLYGON ((-81.987997500000006 33.478373499999996,-81.987860100000006 33.478502400000004,-81.9879545 33.478574000000002,-81.987834399999997 33.478688499999997,-81.987740000000002 33.478624099999998,-81.987516799999995 33.478845999999997,-81.987053299999999 33.478509600000002,-81.987533999999997 33.478037100000002,-81.987689900000007 33.478150200000002,-81.987997500000006 33.478373499999996))	53118092		1500	building	Kroger
POLYGON ((-82.133331999999996 33.5412137,-82.1335519 33.541388099999999,-82.133455400000003 33.541468600000002,-82.133235400000004 33.5413031,-82.133331999999996 33.5412137))	155727292		1500	building	Kroger Gas
POLYGON ((-84.060873999999998 33.8844427,-84.060568200000006 33.883939499999997,-84.060337599999997 33.8840286,-84.060289299999994 33.883939499999997,-84.060069400000003 33.884010699999997,-84.0601391 33.884108699999999,-84.0596187 33.8843314,-84.059972799999997 33.884870200000002,-84.060873999999998 33.8844427))	192650862		1500	building	Kroger
POLYGON ((-83.659140500000007 32.841839999999998,-83.660052500000006 32.841866699999997,-83.660015999999999 32.842746699999999,-83.659271000000004 32.8427249,-83.659268400000002 32.842787399999999,-83.659171999999998 32.842784600000002,-83.659192099999999 32.842300299999998,-83.659076600000006 32.8422969,-83.659086099999996 32.8420683,-83.659130899999994 32.842069600000002,-83.659140500000007 32.841839999999998))	360153042		1500	building	Kroger
POLYGON ((-84.313554300000007 33.738933000000003,-84.313537100000005 33.738419100000002,-84.3127561 33.738419100000002,-84.3127561 33.7389401,-84.313554300000007 33.738933000000003))	75780758		1500	building	Publix
POLYGON ((-82.131073499999999 33.534023699999999,-82.131078900000006 33.5342384,-82.130617599999994 33.5342518,-82.130612200000002 33.5341758,-82.130579600000004 33.534176700000003,-82.130579999999995 33.534032699999997,-82.131073499999999 33.534023699999999))	155727506		1500	building	CVS Pharmacy
